obj_type,vpid,snomed_id,bnf_code,dmd_name,bnf_name,form_route
amp,36565111000001106,18248711000001106,0501030P0BHABAC,Acnamino MR 100mg capsules (Almus Pharmaceuticals Ltd),Acnamino MR 100mg capsules (Almus),capsulemodified-release.oral
amp,36565111000001106,9361611000001109,0501030P0BHAAAC,Acnamino MR 100mg capsules (Dexcel-Pharma Ltd),Acnamino MR 100mg capsules (Dexcel-Pharma),capsulemodified-release.oral
amp,324091007,147511000001107,0501030P0BDABAE,Aknemin 100mg capsules (Almirall Ltd),Aknemin 100mg capsules,capsule.oral
amp,324090008,116911000001108,0501030P0BDAAAD,Aknemin 50 capsules (Almirall Ltd),Aknemin 50 capsules,capsule.oral
amp,35901911000001104,42011000001106,0501013B0BGACAS,Amoram 125mg/5ml oral suspension (LPC Medical (UK) Ltd),Amoram 125mg/5ml oral suspension,suspension.oral
amp,323509004,500511000001107,0501013B0BGAAAA,Amoram 250mg capsules (LPC Medical (UK) Ltd),Amoram 250mg capsules,capsule.oral
amp,323740008,284811000001105,0501013B0BGADAT,Amoram 250mg/5ml oral suspension (LPC Medical (UK) Ltd),Amoram 250mg/5ml oral suspension,suspension.oral
amp,323510009,19211000001104,0501013B0BGABAB,Amoram 500mg capsules (LPC Medical (UK) Ltd),Amoram 500mg capsules,capsule.oral
amp,323732002,143211000001100,0501013B0AAAJAJ,Amoxicillin 125mg/5ml oral suspension (IVAX Pharmaceuticals UK Ltd),Amoxicillin 125mg/5ml oral suspension,suspension.oral
amp,323732002,144711000001109,0501013B0AAAJAJ,Amoxicillin 125mg/5ml oral suspension (Ranbaxy (UK) Ltd),Amoxicillin 125mg/5ml oral suspension,suspension.oral
amp,323732002,159311000001109,0501013B0AAAJAJ,Amoxicillin 125mg/5ml oral suspension (Actavis UK Ltd),Amoxicillin 125mg/5ml oral suspension,suspension.oral
amp,323732002,200311000001108,0501013B0AAAJAJ,Amoxicillin 125mg/5ml oral suspension (Teva UK Ltd),Amoxicillin 125mg/5ml oral suspension,suspension.oral
amp,323732002,329011000001104,0501013B0AAAJAJ,Amoxicillin 125mg/5ml oral suspension (Kent Pharmaceuticals Ltd),Amoxicillin 125mg/5ml oral suspension,suspension.oral
amp,323732002,549011000001104,0501013B0AAAJAJ,Amoxicillin 125mg/5ml oral suspension (Alliance Healthcare (Distribution) Ltd),Amoxicillin 125mg/5ml oral suspension,suspension.oral
amp,323732002,634511000001102,0501013B0AAAJAJ,Amoxicillin 125mg/5ml oral suspension (A A H Pharmaceuticals Ltd),Amoxicillin 125mg/5ml oral suspension,suspension.oral
amp,323732002,856111000001107,0501013B0AAAJAJ,Amoxicillin 125mg/5ml oral suspension (Sandoz Ltd),Amoxicillin 125mg/5ml oral suspension,suspension.oral
amp,323732002,860211000001109,0501013B0AAAJAJ,Amoxicillin 125mg/5ml oral suspension (Mylan),Amoxicillin 125mg/5ml oral suspension,suspension.oral
amp,323732002,9786511000001104,0501013B0AAAJAJ,Amoxicillin 125mg/5ml oral suspension (Almus Pharmaceuticals Ltd),Amoxicillin 125mg/5ml oral suspension,suspension.oral
amp,323732002,10426911000001105,0501013B0AAAJAJ,Amoxicillin 125mg/5ml oral suspension (Arrow Generics Ltd),Amoxicillin 125mg/5ml oral suspension,suspension.oral
amp,323732002,15984311000001100,0501013B0AAAJAJ,Amoxicillin 125mg/5ml oral suspension (Bristol Laboratories Ltd),Amoxicillin 125mg/5ml oral suspension,suspension.oral
amp,323732002,17781111000001106,0501013B0AAAJAJ,Amoxicillin 125mg/5ml oral suspension (Phoenix Healthcare Distribution Ltd),Amoxicillin 125mg/5ml oral suspension,suspension.oral
amp,323732002,21766511000001109,0501013B0AAAJAJ,Amoxicillin 125mg/5ml oral suspension (Waymade Healthcare Plc),Amoxicillin 125mg/5ml oral suspension,suspension.oral
amp,323732002,22609411000001107,0501013B0AAAJAJ,Amoxicillin 125mg/5ml oral suspension (DE Pharmaceuticals),Amoxicillin 125mg/5ml oral suspension,suspension.oral
amp,323732002,28943411000001109,0501013B0AAAJAJ,Amoxicillin 125mg/5ml oral suspension (Crescent Pharma Ltd),Amoxicillin 125mg/5ml oral suspension,suspension.oral
amp,323732002,29769411000001106,0501013B0AAAJAJ,Amoxicillin 125mg/5ml oral suspension (Sigma Pharmaceuticals Plc),Amoxicillin 125mg/5ml oral suspension,suspension.oral
amp,35901911000001104,311000001109,0501013B0AAASAS,Amoxicillin 125mg/5ml oral suspension sugar free (Mylan),Amoxicillin 125mg/5ml oral suspension sugar free,suspension.oral
amp,35901911000001104,69611000001101,0501013B0AAASAS,Amoxicillin 125mg/5ml oral suspension sugar free (IVAX Pharmaceuticals UK Ltd),Amoxicillin 125mg/5ml oral suspension sugar free,suspension.oral
amp,35901911000001104,222511000001108,0501013B0AAASAS,Amoxicillin 125mg/5ml oral suspension sugar free (Teva UK Ltd),Amoxicillin 125mg/5ml oral suspension sugar free,suspension.oral
amp,35901911000001104,264811000001108,0501013B0AAASAS,Amoxicillin 125mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd),Amoxicillin 125mg/5ml oral suspension sugar free,suspension.oral
amp,35901911000001104,416211000001100,0501013B0AAASAS,Amoxicillin 125mg/5ml oral suspension sugar free (Kent Pharmaceuticals Ltd),Amoxicillin 125mg/5ml oral suspension sugar free,suspension.oral
amp,35901911000001104,623711000001108,0501013B0AAASAS,Amoxicillin 125mg/5ml oral suspension sugar free (Actavis UK Ltd),Amoxicillin 125mg/5ml oral suspension sugar free,suspension.oral
amp,35901911000001104,709111000001109,0501013B0AAASAS,Amoxicillin 125mg/5ml oral suspension sugar free (Sandoz Ltd),Amoxicillin 125mg/5ml oral suspension sugar free,suspension.oral
amp,35901911000001104,756511000001100,0501013B0AAASAS,Amoxicillin 125mg/5ml oral suspension sugar free (A A H Pharmaceuticals Ltd),Amoxicillin 125mg/5ml oral suspension sugar free,suspension.oral
amp,35901911000001104,9787111000001106,0501013B0AAASAS,Amoxicillin 125mg/5ml oral suspension sugar free (Almus Pharmaceuticals Ltd),Amoxicillin 125mg/5ml oral suspension sugar free,suspension.oral
amp,35901911000001104,10428011000001105,0501013B0AAASAS,Amoxicillin 125mg/5ml oral suspension sugar free (Arrow Generics Ltd),Amoxicillin 125mg/5ml oral suspension sugar free,suspension.oral
amp,35901911000001104,15984711000001101,0501013B0AAASAS,Amoxicillin 125mg/5ml oral suspension sugar free (Bristol Laboratories Ltd),Amoxicillin 125mg/5ml oral suspension sugar free,suspension.oral
amp,35901911000001104,17781911000001109,0501013B0AAASAS,Amoxicillin 125mg/5ml oral suspension sugar free (Phoenix Healthcare Distribution Ltd),Amoxicillin 125mg/5ml oral suspension sugar free,suspension.oral
amp,35901911000001104,21775811000001105,0501013B0AAASAS,Amoxicillin 125mg/5ml oral suspension sugar free (Waymade Healthcare Plc),Amoxicillin 125mg/5ml oral suspension sugar free,suspension.oral
amp,35901911000001104,22609611000001105,0501013B0AAASAS,Amoxicillin 125mg/5ml oral suspension sugar free (DE Pharmaceuticals),Amoxicillin 125mg/5ml oral suspension sugar free,suspension.oral
amp,35901911000001104,29764511000001106,0501013B0AAASAS,Amoxicillin 125mg/5ml oral suspension sugar free (Sigma Pharmaceuticals Plc),Amoxicillin 125mg/5ml oral suspension sugar free,suspension.oral
amp,35901911000001104,29993911000001107,0501013B0AAASAS,Amoxicillin 125mg/5ml oral suspension sugar free (Mawdsley-Brooks & Company Ltd),Amoxicillin 125mg/5ml oral suspension sugar free,suspension.oral
amp,35901911000001104,35591711000001109,0501013B0AAASAS,Amoxicillin 125mg/5ml oral suspension sugar free (RX Farma),Amoxicillin 125mg/5ml oral suspension sugar free,suspension.oral
amp,35901911000001104,35852611000001101,0501013B0AAASAS,Amoxicillin 125mg/5ml oral suspension sugar free (Medreich Plc),Amoxicillin 125mg/5ml oral suspension sugar free,suspension.oral
amp,323509004,145611000001104,0501013B0AAAAAA,Amoxicillin 250mg capsules (Alliance Healthcare (Distribution) Ltd),Amoxicillin 250mg capsules,capsule.oral
amp,323509004,228311000001104,0501013B0AAAAAA,Amoxicillin 250mg capsules (Sandoz Ltd),Amoxicillin 250mg capsules,capsule.oral
amp,323509004,325811000001107,0501013B0AAAAAA,Amoxicillin 250mg capsules (IVAX Pharmaceuticals UK Ltd),Amoxicillin 250mg capsules,capsule.oral
amp,323509004,361711000001108,0501013B0AAAAAA,Amoxicillin 250mg capsules (Teva UK Ltd),Amoxicillin 250mg capsules,capsule.oral
amp,323509004,413911000001103,0501013B0AAAAAA,Amoxicillin 250mg capsules (Mylan),Amoxicillin 250mg capsules,capsule.oral
amp,323509004,458811000001108,0501013B0AAAAAA,Amoxicillin 250mg capsules (Ranbaxy (UK) Ltd),Amoxicillin 250mg capsules,capsule.oral
amp,323509004,558111000001107,0501013B0AAAAAA,Amoxicillin 250mg capsules (A A H Pharmaceuticals Ltd),Amoxicillin 250mg capsules,capsule.oral
amp,323509004,739011000001101,0501013B0AAAAAA,Amoxicillin 250mg capsules (Actavis UK Ltd),Amoxicillin 250mg capsules,capsule.oral
amp,323509004,833211000001107,0501013B0AAAAAA,Amoxicillin 250mg capsules (Kent Pharmaceuticals Ltd),Amoxicillin 250mg capsules,capsule.oral
amp,323509004,9785311000001100,0501013B0AAAAAA,Amoxicillin 250mg capsules (Almus Pharmaceuticals Ltd),Amoxicillin 250mg capsules,capsule.oral
amp,323509004,10380511000001103,0501013B0AAAAAA,Amoxicillin 250mg capsules (Arrow Generics Ltd),Amoxicillin 250mg capsules,capsule.oral
amp,323509004,12948011000001101,0501013B0AAAAAA,Amoxicillin 250mg capsules (Boston Healthcare Ltd),Amoxicillin 250mg capsules,capsule.oral
amp,323509004,15981611000001108,0501013B0AAAAAA,Amoxicillin 250mg capsules (Bristol Laboratories Ltd),Amoxicillin 250mg capsules,capsule.oral
amp,323509004,17779911000001102,0501013B0AAAAAA,Amoxicillin 250mg capsules (Phoenix Healthcare Distribution Ltd),Amoxicillin 250mg capsules,capsule.oral
amp,323509004,18145411000001107,0501013B0AAAAAA,Amoxicillin 250mg capsules (Wockhardt UK Ltd),Amoxicillin 250mg capsules,capsule.oral
amp,323509004,19187411000001106,0501013B0AAAAAA,Amoxicillin 250mg capsules (Milpharm Ltd),Amoxicillin 250mg capsules,capsule.oral
amp,323509004,19725711000001109,0501013B0AAAAAA,Amoxicillin 250mg capsules (Medreich Plc),Amoxicillin 250mg capsules,capsule.oral
amp,323509004,21764811000001100,0501013B0AAAAAA,Amoxicillin 250mg capsules (Waymade Healthcare Plc),Amoxicillin 250mg capsules,capsule.oral
amp,323509004,22608411000001104,0501013B0AAAAAA,Amoxicillin 250mg capsules (DE Pharmaceuticals),Amoxicillin 250mg capsules,capsule.oral
amp,323509004,23477711000001105,0501013B0AAAAAA,Amoxicillin 250mg capsules (Accord Healthcare Ltd),Amoxicillin 250mg capsules,capsule.oral
amp,323509004,29765011000001104,0501013B0AAAAAA,Amoxicillin 250mg capsules (Sigma Pharmaceuticals Plc),Amoxicillin 250mg capsules,capsule.oral
amp,323509004,29993011000001108,0501013B0AAAAAA,Amoxicillin 250mg capsules (Mawdsley-Brooks & Company Ltd),Amoxicillin 250mg capsules,capsule.oral
amp,323509004,33680711000001103,0501013B0AAAAAA,Amoxicillin 250mg capsules (Brown & Burk UK Ltd),Amoxicillin 250mg capsules,capsule.oral
amp,323509004,35591111000001108,0501013B0AAAAAA,Amoxicillin 250mg capsules (RX Farma),Amoxicillin 250mg capsules,capsule.oral
amp,323509004,36932811000001108,0501013B0AAAAAA,Amoxicillin 250mg capsules (Flamingo Pharma (UK) Ltd),Amoxicillin 250mg capsules,capsule.oral
amp,323733007,213311000001100,0501013B0AAAKAK,Amoxicillin 250mg/5ml oral suspension (Kent Pharmaceuticals Ltd),Amoxicillin 250mg/5ml oral suspension,suspension.oral
amp,323733007,256911000001103,0501013B0AAAKAK,Amoxicillin 250mg/5ml oral suspension (Actavis UK Ltd),Amoxicillin 250mg/5ml oral suspension,suspension.oral
amp,323733007,555611000001105,0501013B0AAAKAK,Amoxicillin 250mg/5ml oral suspension (IVAX Pharmaceuticals UK Ltd),Amoxicillin 250mg/5ml oral suspension,suspension.oral
amp,323733007,568411000001107,0501013B0AAAKAK,Amoxicillin 250mg/5ml oral suspension (Mylan),Amoxicillin 250mg/5ml oral suspension,suspension.oral
